epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
116,3514.51,1.17082,0.48009,0.0029,0.94544,0.89221,0.96271,0.67313,1.01261,0.36052,0.00406,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,3544.32,1.15038,0.47168,0.00291,0.94129,0.90355,0.96427,0.67622,1.01483,0.35195,0.00409,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,3573.98,1.15254,0.47265,0.00293,0.93641,0.91229,0.96551,0.67687,1.01539,0.35323,0.00409,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,3603.6,1.16021,0.47581,0.00286,0.93807,0.90258,0.96451,0.67705,1.0092,0.35584,0.00405,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,3634.2,1.17429,0.48049,0.00287,0.93854,0.90613,0.96437,0.6744,1.01484,0.35896,0.00407,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,3664.81,1.16673,0.47408,0.00281,0.93201,0.90962,0.96435,0.67702,1.00989,0.35244,0.00406,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,3694.49,1.14677,0.46676,0.00288,0.94246,0.90162,0.96517,0.67445,1.01296,0.35273,0.00408,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,3724.63,1.15609,0.47324,0.00285,0.93741,0.90506,0.96318,0.67552,1.01993,0.35698,0.00414,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,3754,1.16702,0.4715,0.00278,0.9409,0.90653,0.96405,0.67341,1.01431,0.35577,0.00407,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,3784.64,1.15864,0.47629,0.00283,0.94341,0.91366,0.96509,0.67596,1.01141,0.35434,0.00405,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,3814.26,1.14469,0.46584,0.00288,0.9378,0.91598,0.96464,0.67558,1.01034,0.35318,0.00404,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,3844.41,1.16028,0.47328,0.00283,0.938,0.91529,0.96628,0.67895,1.01395,0.35269,0.00408,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,3874.53,1.15025,0.46611,0.00283,0.93837,0.9137,0.96446,0.67882,1.01081,0.35562,0.00407,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,3904.16,1.17186,0.47861,0.00286,0.94106,0.91207,0.96609,0.67989,1.00905,0.35081,0.00405,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,3934.83,1.16467,0.47534,0.00281,0.9405,0.91559,0.965,0.67429,1.02458,0.35183,0.00411,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,3964.24,1.15351,0.46792,0.00283,0.95064,0.90272,0.96384,0.67859,1.01151,0.34645,0.00407,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,3994.37,1.15573,0.46592,0.00275,0.93418,0.91252,0.96342,0.67818,1.00729,0.34749,0.00405,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,4024.59,1.16058,0.47543,0.00284,0.94875,0.91564,0.96629,0.68204,1.00479,0.34391,0.00403,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
134,4054.73,1.13786,0.46748,0.00284,0.94468,0.91454,0.96476,0.67937,1.00764,0.34585,0.00405,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
135,4083.97,1.14688,0.46459,0.0029,0.94176,0.91672,0.96552,0.68008,1.00526,0.34801,0.00403,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
